エクスポート日時(UTC),エクスポート日時(JST),リポジトリ名,ステータス,スター数,フォーク数,未解決Issue,クローズ済みIssue,コミット数,言語,最終Push,URL
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,everyday-use-git,頻繁に更新,0,0,24,335,1,不明,2025-08-05,https://github.com/KenichiroArai/everyday-use-git
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,simple-repo-observer,更新が少ない,0,0,60,0,2,不明,2025-11-13,https://github.com/KenichiroArai/simple-repo-observer
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,sample-github-actions,更新が少ない,0,0,0,0,5,Python,2025-11-11,https://github.com/KenichiroArai/sample-github-actions
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,sandbox,更新が少ない,0,0,1,0,0,不明,2025-11-07,https://github.com/KenichiroArai/sandbox
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,basic-to-junior-learning,頻繁に更新,0,0,6,125,1,不明,2025-09-05,https://github.com/KenichiroArai/basic-to-junior-learning
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,Zenn,更新が少ない,0,0,0,0,53,不明,2025-08-04,https://github.com/KenichiroArai/Zenn
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,.cursor,更新が少ない,0,0,0,0,0,不明,2025-08-01,https://github.com/KenichiroArai/.cursor
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,gemini-cli,停滞中,0,0,0,0,0,不明,2025-07-15,https://github.com/KenichiroArai/gemini-cli
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,sample-devcontainer-hotreload,停滞中,0,0,0,0,8,JavaScript,2025-07-06,https://github.com/KenichiroArai/sample-devcontainer-hotreload
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,nextjs-boilerplate,停滞中,0,0,0,0,1,TypeScript,2025-04-10,https://github.com/KenichiroArai/nextjs-boilerplate
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,directory-operation-parallel-execution-tool,停滞中,0,0,0,0,191,Java,2025-02-21,https://github.com/KenichiroArai/directory-operation-parallel-execution-tool
2026-07-28T19:39:04.889Z,2026-07-29T04:39:04.889+09:00,sample-java-simple-releases-packages,停滞中,0,0,0,0,11,Batchfile,2025-02-17,https://github.com/KenichiroArai/sample-java-simple-releases-packages
